SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4722 8th Ave NE,Seattle,WA,98105,895000,6,3.0,University District,1800,2519,1926,76,497,,Active,,,http://www.redfin.com/WA/Seattle/4722-8th-Ave-NE-98105/home/312010,NWMLS,1687373,N,Y,47.6638212,-122.3192931
MLS Listing,,Townhouse,2343 N 147th St Unit G,Shoreline,WA,98133,777880,3,2.25,Shoreline,1692,,2021,78,460,180,Active,,,http://www.redfin.com/WA/Shoreline/2343-N-147th-St-98133/unit-G/home/173641989,NWMLS,1687151,N,Y,47.7352314,-122.3296894
MLS Listing,,Single Family Residential,3806 13th Ave W,Seattle,WA,98119,839000,4,3.5,Queen Anne,2060,1600,2007,78,407,,Active,,,http://www.redfin.com/WA/Seattle/3806-13th-Ave-W-98119/home/12303838,NWMLS,1686875,N,Y,47.6542954,-122.3732236
MLS Listing,,Single Family Residential,14516 6th Ave NE,Shoreline,WA,98155,1100000,3,1.75,Shoreline,1510,7440,1951,78,728,,Active,,,http://www.redfin.com/WA/Shoreline/14516-6th-Ave-NE-98155/home/86871,NWMLS,1686843,N,Y,47.7345026,-122.3219212
MLS Listing,,Single Family Residential,6215 Lake Washington Blvd SE,Bellevue,WA,98006,1045000,3,1.5,Newport Hills,2270,27224,1930,80,460,,Active,,,http://www.redfin.com/WA/Bellevue/6215-Lake-Washington-Blvd-SE-98006/home/413696,NWMLS,1685483,N,Y,47.5469719,-122.1912889
MLS Listing,,Single Family Residential,14711 23rd Ave NE,Shoreline,WA,98155,677000,3,1.5,Shoreline,2680,8203,1948,84,253,,Active,,,http://www.redfin.com/WA/Shoreline/14711-23rd-Ave-NE-98155/home/87913,NWMLS,1684528,N,Y,47.7360212,-122.3049664
MLS Listing,,Single Family Residential,2342 NE 145th St Pl,Shoreline,WA,98155,1200000,4,2.0,Lake Forest Park,1920,17039,1948,93,625,,Active,,,http://www.redfin.com/WA/Shoreline/2342-NE-145th-St-98155/home/86511,NWMLS,1680842,N,Y,47.734171,-122.3040284
MLS Listing,,Single Family Residential,8288 Lake city Way NE,Seattle,WA,98115,1100000,6,2.5,Maple Leaf,2706,5100,1925,94,407,,Active,,,http://www.redfin.com/WA/Seattle/8288-Lake-City-Way-NE-98115/home/173491282,NWMLS,1680279,N,Y,47.6893035,-122.3092269
MLS Listing,,Single Family Residential,13013 39th Ave NE,Seattle,WA,98125,1250000,4,2.5,Cedar Park,2760,24500,1949,108,453,,Active,,,http://www.redfin.com/WA/Seattle/13013-39th-Ave-NE-98125/home/111642,NWMLS,1674851,N,Y,47.7234641,-122.2867907
MLS Listing,,Multi-Family (2-4 Unit),1320 N 40th St,Seattle,WA,98103,850000,3,2.0,Wallingford,2080,2543,1918,117,409,,Active,,,http://www.redfin.com/WA/Seattle/1320-N-40th-St-98103/home/118808,NWMLS,1669864,N,Y,47.6557418,-122.3414856
MLS Listing,,Single Family Residential,7834 Lake City Way NE,Seattle,WA,98115,790000,4,2.0,Roosevelt,1700,4000,1925,134,465,,Active,,,http://www.redfin.com/WA/Seattle/7834-Lake-City-Way-NE-98115/home/309745,NWMLS,1661051,N,Y,47.6857602,-122.3142192
MLS Listing,,Multi-Family (2-4 Unit),8613 Roosevelt Way NE,Seattle,WA,98115,1199900,4,3.0,Maple Leaf,2100,3570,1910,146,571,,Active,,,http://www.redfin.com/WA/Seattle/8613-Roosevelt-Way-NE-98115/home/2061627,NWMLS,1655321,N,Y,47.6916797,-122.3178914
MLS Listing,,Single Family Residential,7757 2nd Ave NE,Seattle,WA,98115,799900,3,2.0,Green Lake,1640,3080,1930,186,488,,Active,,,http://www.redfin.com/WA/Seattle/7757-2nd-Ave-NE-98115/home/307161,NWMLS,1633181,N,Y,47.6866882,-122.3272354
MLS Listing,,Multi-Family (2-4 Unit),1813 -1817 5th Ave N,Seattle,WA,98109,1195000,4,3.0,Queen Anne,2720,5300,1940,214,439,,Active,,,http://www.redfin.com/WA/Seattle/1813-5th-Ave-N-98109/home/172246238,NWMLS,1619964,N,Y,47.63533,-122.3478957
MLS Listing,,Multi-Family (2-4 Unit),1807 -1811 5th Ave N,Seattle,WA,98109,1195000,4,3.0,Queen Anne,2540,5300,1941,214,470,,Active,,,http://www.redfin.com/WA/Seattle/1807-5th-Ave-N-98109/home/172246106,NWMLS,1619956,N,Y,47.6351975,-122.3479159
MLS Listing,,Single Family Residential,8007 NE 116th Pl,Kirkland,WA,98034,1199950,3,3.25,Juanita,2459,3760,2021,230,488,,Active,,,http://www.redfin.com/WA/Kirkland/8007-NE-116th-Pl-98034/home/145708966,NWMLS,1612301,N,Y,47.7051044,-122.2347843
MLS Listing,,Townhouse,6556 Ravenna Ave NE Unit M,Seattle,WA,98115,929990,3,1.75,Ravenna,1507,1,2020,246,617,450,Active,,,http://www.redfin.com/WA/Seattle/6556-Ravenna-Ave-NE-98115/unit-M/home/171553231,NWMLS,1605562,N,Y,47.6775084,-122.3036713
MLS Listing,,Single Family Residential,9501 Sand Point Way NE,Seattle,WA,98115,799000,5,1.75,Matthews Beach,2260,6199,1957,260,354,,Active,,,http://www.redfin.com/WA/Seattle/9501-Sand-Point-Way-NE-98115/home/112545,NWMLS,1597297,N,Y,47.6976889,-122.2780447
MLS Listing,,Multi-Family (2-4 Unit),1017 Taylor Ave N,Seattle,WA,98109,1119000,5,2.0,Queen Anne,2110,2550,1907,264,530,,Active,,,http://www.redfin.com/WA/Seattle/1017-Taylor-Ave-N-98109/home/132139,NWMLS,1593326,N,Y,47.6286174,-122.3465405
MLS Listing,,Townhouse,12520 15th Ave NE Unit B,Seattle,WA,98125,749990,4,2.25,Pinehurst,1658,944,2021,312,452,192,Active,,,http://www.redfin.com/WA/Seattle/12520-15th-Ave-NE-98125/unit-B/home/174063958,NWMLS,1579848,N,Y,47.7201168,-122.3122106
MLS Listing,,Townhouse,5240 D Brooklyn Ave NE,Seattle,WA,98105,856000,4,2.5,University District,1500,8240,2021,344,571,,Active,,,http://www.redfin.com/WA/Seattle/5240-Brooklyn-Ave-NE-98105/unit-A/home/170575429,NWMLS,1565715,N,Y,47.6676414,-122.3139229
For-Sale-by-Owner Listing,,Single Family Residential,2422 124th Pl NE,Bellevue,WA,98005,1250000,3,2.0,Bellevue,1620,14374,1981,3,772,,Active,,,http://www.redfin.com/WA/Bellevue/2422-124th-Pl-NE-98005/home/507741,Fizber.com,11429460,N,Y,47.632572,-122.1739017
For-Sale-by-Owner Listing,,Single Family Residential,2157 Dexter Ave N,Seattle,WA,98109,949000,3,1.5,Seattle,1730,3680,1936,53,549,,Active,,,http://www.redfin.com/WA/Seattle/2157-Dexter-Ave-N-98109/home/131693,Fizber.com,11426136,N,Y,47.6391593,-122.3443039
New Construction Plan,,Townhouse,Plan 7,Newcastle,WA,98059,1139900,3,2.0,Aldea,2628,,,,434,,Active,,,http://www.redfin.com/WA/Newcastle/Aldea/Plan-7/home/147800867,NewHomeSource.com,Plan-141870983,N,Y,47.5430634,-122.1590532
New Construction Plan,,Single Family Residential,Plan H,Seattle,WA,98125,829990,4,2.5,Nora.,1897,,,,438,,Active,,,http://www.redfin.com/WA/Seattle/Nora/Plan-H/home/173272263,NewHomeSource.com,Plan-141842885,N,Y,47.72015,-122.3124569
New Construction Plan,,Single Family Residential,Plan B2,Seattle,WA,98125,739990,4,2.5,Nora.,1625,,,,455,,Active,,,http://www.redfin.com/WA/Seattle/Nora/Plan-B2/home/173272264,NewHomeSource.com,Plan-141842884,N,Y,47.72015,-122.3124569
New Construction Plan,,Single Family Residential,Plan B,Seattle,WA,98125,739990,4,2.5,Nora.,1625,,,,455,,Active,,,http://www.redfin.com/WA/Seattle/Nora/Plan-B/home/173272265,NewHomeSource.com,Plan-141842883,N,Y,47.72015,-122.3124569
New Construction Plan,,Single Family Residential,Plan I,Seattle,WA,98125,749990,3,2.5,Nora.,1658,,,,452,,Active,,,http://www.redfin.com/WA/Seattle/Nora/Plan-I/home/173272269,NewHomeSource.com,Plan-141842880,N,Y,47.72015,-122.3124569
New Construction Plan,,Single Family Residential,Plan 20RExterior,Kirkland,WA,98034,920990,3,3.5,Parkside at Juanita,2131,,,,432,,Active,,,http://www.redfin.com/WA/Kirkland/Parkside-at-Juanita/Plan-20RExterior/home/173761142,NewHomeSource.com,Plan-141855930,N,Y,47.7094063,-122.2387618
New Construction Plan,,Multi-Family (2-4 Unit),Plan 20R WLH,Kirkland,WA,98034,878990,3,3.5,Parkside at Juanita,2109,,,,417,,Active,,,http://www.redfin.com/WA/Kirkland/Parkside-at-Juanita/Plan-20R-WLH/home/173959157,NewHomeSource.com,Plan-141771643,N,Y,47.7094063,-122.2387618
